date,pm10,pm25,co,no2,so2,o3,aerosol_optical_depth,dust,uv_index,aqi,european_aqi,hour,day,month,weekday,aqi_change_rate,aqi_lag_1,aqi_lag_7,target_aqi,temperature,humidity,wind_speed,rain
2024-08-13,87.79583333333333,17.1125,194.5,10.458333333333334,5.625,44.54166666666666,0.6191666666666666,167.25,1.7479166666666666,63.0,71.54166666666667,0,13,8,1,1.125,61.875,76.625,65.875,29.4,80,23.2,0.4
2024-08-14,117.72083333333336,18.441666666666663,173.0,8.066666666666666,4.9750000000000005,45.333333333333336,0.5483333333333333,241.625,1.9083333333333328,78.08333333333333,84.45833333333333,0,14,8,2,15.083333333333329,63.0,71.25,66.0,29.5,78,23.5,0.0
2024-08-15,82.10416666666667,19.0375,170.79166666666666,7.1625000000000005,4.629166666666666,45.375,0.6033333333333334,143.08333333333334,1.7999999999999998,72.04166666666667,79.625,0,15,8,3,-6.041666666666657,78.08333333333333,68.45833333333333,68.95833333333333,29.2,80,25.7,1.9
2024-08-16,65.46666666666667,19.254166666666663,167.79166666666666,7.9125,4.641666666666667,40.583333333333336,0.68125,99.125,1.35,65.875,70.08333333333333,0,16,8,4,-6.166666666666671,72.04166666666667,66.41666666666667,65.75,28.7,80,25.2,1.1
2024-08-17,78.07083333333334,20.78333333333333,192.45833333333331,11.083333333333334,5.5,37.625,0.535,125.83333333333331,1.00625,66.0,67.375,0,17,8,5,0.125,65.875,59.625,61.0,29.0,77,19.3,0.1
2024-08-18,72.47083333333333,20.179166666666667,202.33333333333331,12.2875,5.758333333333333,36.083333333333336,0.52375,118.16666666666669,0.7666666666666666,68.95833333333333,71.33333333333333,0,18,8,6,2.9583333333333286,66.0,58.208333333333336,58.66666666666666,29.0,77,25.2,0.2
2024-08-19,54.020833333333336,17.929166666666667,213.08333333333331,11.458333333333334,5.5125,42.66666666666666,0.4154166666666667,76.54166666666667,1.7104166666666665,65.75,65.95833333333333,0,19,8,0,-3.2083333333333286,68.95833333333333,61.875,63.66666666666666,28.9,77,25.1,1.0
2024-08-20,43.075,16.395833333333332,193.0,8.920833333333333,4.55,43.583333333333336,0.33875,51.083333333333336,2.10625,61.0,55.333333333333336,0,20,8,1,-4.75,65.75,63.0,63.29166666666666,29.3,74,27.2,0.8
2024-08-21,44.53333333333333,16.745833333333334,176.79166666666666,7.533333333333332,4.183333333333334,47.0,0.4808333333333333,51.04166666666666,2.027083333333333,58.66666666666666,41.708333333333336,0,21,8,2,-2.333333333333343,61.0,78.08333333333333,63.91666666666666,29.3,74,26.5,0.0
2024-08-22,63.59166666666667,18.883333333333333,178.04166666666666,7.791666666666667,4.4875,50.75,0.61125,96.5,1.804166666666667,63.66666666666666,61.75,0,22,8,3,5.0,58.66666666666666,72.04166666666667,74.08333333333333,30.0,71,24.9,0.0
